Model Xe,Năm Sản Xuất,Gía Tiền,Xuất Xứ,Tình Trạng,Dòng Xe,Số KM Đã Đi,Màu Ngoại Thất,Màu Nội Thất,Số Chỗ Ngồi,Động Cơ,Hệ Thống Nạp Nhiên Liệu,Hộp Số,Dẫn Động,Thành Phố MPG,Cao Tốc MPG,Chiều Dài Cơ Sở,Chiều Dài Xe,Chiều Rộng Xe,Chiều Cao Xe,Độ Nặng,Kích Thước Động Cơ,Tỷ Số Đường Kính Xy Lanh & Pít Tông,Stroke,Mã Lực,Số Vòng Quay Cực Đại,Địa Chỉ
Mercedes-Benz Sprinter 2500,2022,1032700000,Xe nước ngoài,1,Van-minivan,22888,Áo khoác trắng sáng,Unknown,7,Xăng ,Unknown,Số tự động,RFD - Dẫn động cầu sau,15,24,100.9,117.4,54.9,58.4,2514,190,3.01,2.69,188,4995,3512 S Holden Rd
Mercedes-Benz Sprinter 2500,2022,977500000,Xe nước ngoài,1,Van-minivan,45741,Áo khoác trắng sáng,Unknown,5,Nhiên liệu linh hoạt Lai:,Unknown,Số tay,FWD - Dẫn động cầu trước,16,23,91.8,101.3,53.9,52,2308,183,3.65,2.73,179,5728,85 W Kemper Rd
Ford Transit 250 Low Roof,2021,949900000,Xe nước ngoài,1,Van-minivan,30498,Áo khoác ngọc trai đỏ octane,Unknown,6,Nhiên liệu linh hoạt Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,45,50,90.4,94.6,54.1,58.5,1779,83,2.58,3.43,107,6196,200 North Green River Road
RAM ProMaster 1500,2021,920000000,Xe nước ngoài,1,Van-minivan,38168,Thép kim loại hiện đại,Unknown,7,Diesel 1.4L,Unknown,Số tay,RFD - Dẫn động cầu sau,16,25,106,95.6,56.4,56.1,1771,192,3.75,3.12,147,5348,3079 WALL AVE
Chrysler Pacifica Limited,2021,732941000,Xe nước ngoài,1,Van-minivan,117752,Mica xám trước bình minh,Unknown,7,Xăng 2.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,29,31,116.1,113.7,50.7,52.2,1835,157,2.84,2.96,121,6760,1117 State Route 32
Dodge Grand Caravan GT,2019,459517000,Xe nước ngoài,1,Van-minivan,130357,Màu đỏ,Unknown,6,Diesel 2.4L,Unknown,Số tự động,RFD - Dẫn động cầu sau,20,29,111.9,110.9,48.4,58.2,2319,218,3.88,2.47,55,5172,1117 State Route 32
Honda Odyssey Touring Elite,2014,431963000,Xe nước ngoài,1,Van-minivan,161784,Bản vẽ thiết kế,Unknown,7,Xăng 3.6L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,21,39,117.4,96.9,56.8,52.3,2243,188,3.9,3.13,197,6100,3940 Carothers Pkwy
Toyota Sienna XLE Premium,2016,410297000,Xe nước ngoài,1,Van-minivan,248541,Tìm vàng,Unknown,6,HybridLanh,Unknown,Số tay,FWD - Dẫn động cầu trước,17,27,113.7,94.2,57.4,52.6,2563,86,2.71,2.59,81,5419,1075 S Us Highway 1
Toyota Sienna XLE,2022,1092385000,Xe nước ngoài,1,Van-minivan,47323,Xanh đậm,Mã não có vân đen,6,Diesel 3.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,18,27,93.5,112.1,57.7,57.5,2325,220,3.65,2.64,158,6253,1915 N SALISBURY BLVD
Toyota Sienna LE,2023,1033758000,Xe nước ngoài,-1,Van-minivan,15568,Oxford trắng,Unknown,7,Diesel 4.4L,Unknown,Số tự động,FWD - Dẫn động cầu trước,16,24,91.8,94.7,50.5,52.1,1724,188,2.95,2.93,84,5760,1781 Del Monte Boulevard
Dodge Challenger R/T Scat Pack w/ T/A Package,2021,1112073000,Xe nước ngoài,1,Coupe,4994,Áo khoác trong suốt màu đỏ kẹo kim loại,Đen,2,Diesel 4.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,21,30,96.2,109.8,55.5,56.5,2602,92,3.44,3.06,102,6635,11315 US Highway 70 W
Porsche 911 Carrera 4S,1998,666724000,Xe nước ngoài,1,Coupe,71893,Oxford trắng,Unknown,2,Diesel 6.2L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,18,25,115.3,115.9,56.4,52.5,2086,81,3.74,2.76,61,5796,6252 E Virginia Beach Blvd
Ford Mustang Premium,2021,655500000,Xe nước ngoài,1,Coupe,43846,Đen,Unknown,2,Xăng Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,22,31,93.5,102.2,49.8,57.8,2006,118,2.9,2.18,53,5674,925 Interstate 45 S
Ford Mustang GT Premium w/ Brembo Brake Pkg,2013,620839000,Xe nước ngoài,1,Coupe,57490,Kim loại từ tính,Xám,2,Xăng 1.5L,Unknown,Số tự động,FWD - Dẫn động cầu trước,22,32,99.5,110.9,48.8,51.1,2200,118,3.85,2.51,83,5363,3423 OLD NORCROSS RD
Ford Mustang Coupe w/ Equipment Group 101A,2019,535233000,Xe nước ngoài,1,Coupe,6810,Đen,Unknown,2,Xăng 5.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,21,31,115.7,95.5,51.9,52,2443,100,2.76,3.22,188,6606,2934 Valley Ave
Mercedes-Benz E 400 Coupe,2017,533071000,Xe nước ngoài,1,Coupe,136898,Bóng đen,Ferrari màu đỏ,2,Xăng 6.2L,Unknown,Số tự động,RFD - Dẫn động cầu sau,21,32,95.2,118.9,52.2,58.1,2084,123,3.03,2.91,115,5046,2143 WILDERNESS CT
Ford Mustang Coupe w/ Equipment Group 101A,2020,298885000,Xe nước ngoài,1,Coupe,84962,Hội nghị thượng đỉnh trắng,Unknown,2,Xăng 4.4L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,17,25,113.4,123.7,54.2,57.1,1871,194,3.02,2.76,153,6371,2747 N MILITARY HWY
Chevrolet Camaro LS,2014,528885000,Xe nước ngoài,1,Coupe,153290,Chủng tộc đỏ,Unknown,2,Xăng 6.2L,Unknown,Số tự động,FWD - Dẫn động cầu trước,31,37,116.5,121.3,49.8,55.4,1700,221,3.88,2.32,115,5005,204 N Berkeley Blvd
Ford Mustang Coupe,2017,519271000,Xe nước ngoài,1,Coupe,64389,Thỏi bạc kim loại,Unknown,2,"Xăng 5,6L",Unknown,Số tay,AWD - 4 bánh toàn thời gian,22,31,118.8,105.9,52.8,57.8,1799,129,2.96,3.45,65,5068,1210 Northlake Blvd
Chevrolet Camaro SS w/ RS Package,2011,503700000,Xe nước ngoài,1,Coupe,82595,Hội nghị thượng đỉnh trắng,Unknown,2,"Xăng 5,3L",Unknown,Số tự động,FWD - Dẫn động cầu trước,21,29,97.5,107.3,49.5,53.3,2300,214,3.12,2.97,192,5883,425 S LAKE PARKER AVE
Ford Mustang Premium w/ Equipment Group 201A,2017,494730000,Xe nước ngoài,1,Coupe,101835,Máy bay phản lực đen,Unknown,2,"Xăng 5,3L",Unknown,Số tự động,FWD - Dẫn động cầu trước,15,27,92.9,119.9,54.4,57.3,2291,109,3.38,2.91,57,5807,13355 SW 137TH AVE
Ford Mustang GT Premium w/ Electronics Package,2014,453100000,Xe nước ngoài,1,Coupe,179414,Oxford trắng,Unknown,2,Xăng 6.2L,Unknown,Số tự động,RFD - Dẫn động cầu sau,19,28,109,98.2,56.3,57.6,2371,89,3.7,2.89,144,5478,304 SAGAMORE PKWY N
Chevrolet Camaro LT,2017,377407000,Xe nước ngoài,1,Coupe,112418,Màu đỏ,Unknown,2,Xăng Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,45,51,113.6,98.9,54.9,55.6,2161,207,3.23,2.31,58,5103,3101 Oakland Avenue
BMW 428i xDrive Coupe,2014,373750000,Xe nước ngoài,1,Coupe,148653,Titan bạc kim loại,Unknown,2,Xăng 3.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,17,33,111.9,107.1,49.8,54,2331,136,3.65,3.1,79,4924,4475 Lincoln Avenue
Ford Mustang Coupe w/ Wheel & Stripe Package,2015,344931000,Xe nước ngoài,1,Coupe,194240,Bắc cực trắng,Unknown,2,Xăng Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,16,24,114,101.6,56,53.9,2340,97,2.96,2.76,104,5717,350 SOUTH SANTA FE DR
Honda Accord EX-L,2013,298977000,Xe nước ngoài,1,Coupe,164376,Trắng,Unknown,2,Hybrid3.5L,Unknown,Số tay,RFD - Dẫn động cầu sau,15,24,104.1,96.4,53.2,58.6,2491,168,3.24,2.79,60,5058,3800 W Hillsborough Ave
BMW 328xi Coupe,2008,276000000,Xe nước ngoài,1,Coupe,67210,Hội nghị thượng đỉnh trắng,Unknown,2,Hybrid6.2L,Unknown,Số tự động,RFD - Dẫn động cầu sau,15,25,104.5,101.4,50.3,51.7,1882,93,3.39,3.09,143,5201,916 BEAL PKWY NW
smart fortwo Coupe,2016,238763000,Xe nước ngoài,1,Coupe,70738,Hồ elkhart màu xanh kim loại,Unknown,2,Hybrid6.2L,Unknown,Số tự động,FWD - Dẫn động cầu trước,15,23,103.4,110,48.5,51.7,2118,155,2.75,2.63,84,5307,2810 BISHOP RD
Honda Accord EX-L,2009,206885000,Xe nước ngoài,1,Coupe,208963,Obsidian đen,Đen,2,"Xăng 5,6L",Unknown,Số tự động,FWD - Dẫn động cầu trước,28,39,118.7,106.8,52.3,55.7,2582,189,3.29,2.29,173,6528,Delivery To
Chevrolet Cobalt LT,2007,1828477000,Xe nước ngoài,1,Coupe,8984,Vàng tươi,Unknown,2,Xăng 6.2L,Unknown,Số tự động,FWD - Dẫn động cầu trước,22,31,119.2,125,56.3,58.4,1852,143,2.99,2.22,52,4869,Delivery To
Chevrolet Corvette Stingray Premium Cpe w/ Battery Protection Package,2021,733470000,Xe nước ngoài,1,Coupe,13280,Bọc màu cam,Unknown,2,Xăng 4.4L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,23,34,93.3,105.4,51.8,56,1772,197,3.51,2.44,126,6082,Delivery To
INFINITI Q60 3.0t,2020,634777000,Xe nước ngoài,1,Coupe,46605,Caffeine kim loại,Unknown,2,Xăng Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,43,43,117.4,117.1,57.9,56.6,2329,197,2.61,2.5,61,6481,Delivery to
Chevrolet Camaro SS w/ RS Package,2015,3104885000,Xe nước ngoài,1,Coupe,47030,Gò xoài,Unknown,2,Xăng 2.7L,Unknown,Số tự động,FWD - Dẫn động cầu trước,26,36,96.4,106.9,80.9,47.7,3115,142,3.11,3.05,111,4428,240 NE Loop 820
Porsche 911 Carrera S,2020,1998148000,Xe nước ngoài,1,Coupe,24414,Oxford trắng,Unknown,2,HybridLanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,20,29,111.2,117.7,109.4,51.5,3058,203,3.63,3.28,121,5306,240 NE Loop 820
Chevrolet Corvette Stingray Preferred Cpe w/ Battery Protection Package,2023,1310793000,Xe nước ngoài,1,Coupe,6688,Trắng,Đen,2,Xăng 3.5L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,30,38,97.4,100.8,87,48.8,2424,148,3.75,3,93,5398,3079 WALL AVE
Dodge Challenger R/T Scat Pack,2022,766659000,Xe nước ngoài,1,Coupe,224,Bạc,Unknown,2,Xăng Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,21,31,96.3,98.8,86.2,52.9,2694,198,3.06,3,160,6325,1625 E WEBER DR
Ford Mustang GT Premium w/ Equipment Group 401A,2018,362848000,Xe nước ngoài,1,Coupe,77507,Ánh kim đen nửa đêm,Unknown,2,Nhiên liệu linh hoạt 2.7L,Unknown,Số tự động,FWD - Dẫn động cầu trước,18,29,97.9,107.2,88.3,51.3,3114,160,3.46,3.22,79,5689,2609 South Walton Blvd
Cadillac DTS Luxury,2011,574563000,Xe nước ngoài,1,Sedan,119027,Garnet kim loại,Unknown,5,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,27,30,102.3,118.2,104.2,54.2,2978,129,3.31,3.28,105,4632,8131 Lyndon B Johnson Freeway
Toyota Camry SE,2021,803942000,Xe nước ngoài,1,Sedan,76077,Xám,Unknown,5,Xăng 3.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,21,29,98.1,114.5,92.4,51.4,2755,163,3.42,3.25,91,5697,7625 N Loop 1604 E
Toyota Avalon Limited,2019,802700000,Xe nước ngoài,1,Sedan,31531,Dãy núi trắng,Xám,5,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,46,41,98.3,107.2,77.5,47.1,2963,185,3.44,3.11,93,5220,3940 Carothers Pkwy
Cadillac CT4 Premium Luxury,2020,785611000,Xe nước ngoài,-1,Sedan,29389,Bóng than chì,Unknown,4,Xăng 2.3L,Unknown,Số tay,FWD - Dẫn động cầu trước,20,29,118.7,97.8,88.8,48.6,2624,159,3.12,3.13,129,5870,9570 Southwest Freeway
Toyota Avalon Limited,2020,781977000,Xe nước ngoài,1,Sedan,47422,Kim loại bạc cổ điển,Unknown,4,Xăng Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,19,26,94.6,104.7,100,52.6,2280,111,3.45,3.36,83,4210,1801 Auto Center Dr
BMW 330i Sedan w/ Premium Package,2021,781724000,Xe nước ngoài,-1,Sedan,47722,Bạc,Unknown,5,Xăng 3.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,18,27,95,104.1,102.4,55.5,2421,136,3.4,3.28,86,6121,313 QUAKER RD
INFINITI Q50 Luxe w/ Cargo Package,2022,435160000,Xe nước ngoài,1,Sedan,47146,Ô long màu xám kim loại,Unknown,5,Xăng Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,29,35,107.8,112,104,51.1,2748,188,3.6,3.19,165,4910,8865 US HIGHWAY 441
Toyota Corolla LE,2020,779263000,Xe nước ngoài,1,Sedan,84854,Ngọc gió lạnh,Unknown,5,Xăng 3.9L,Unknown,Số tự động,FWD - Dẫn động cầu trước,29,35,96.7,96.3,98.6,52.9,2327,167,3.3,3.31,170,6319,130 HOLLYWOOD BLVD SW
Lexus IS 300 w/ Accessory Package,2021,768200000,Xe nước ngoài,1,Sedan,32749,Bạc gốm,Unknown,5,Xăng 6.2L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,26,36,102.7,112.2,85.2,53.8,2482,202,3.31,3.01,74,4471,882 CROSS CREEK DR
Audi A8 L 4.0T w/ Driver Assistance Package,2017,761530000,Xe nước ngoài,1,Sedan,109069,Ngọc trai xám đô thị,Unknown,5,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,22,32,104.4,102.4,106.8,54.9,3033,163,3.43,3.31,167,5795,304 SAGAMORE PKWY N
Toyota Camry SE,2023,759552000,Xe nước ngoài,1,Sedan,2848,Màu xanh kim loại địa trung hải,Thiếc vừa,5,Nhiên liệu linh hoạt 3.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,25,33,99.6,99.4,106.7,52,2988,138,3.05,3.22,114,6165,5470 Intrastate Drive
Kia Stinger GT-Line w/ Sun & Sound Package,2021,757850000,Xe nước ngoài,1,Sedan,30187,Ngọc trai màu cam năng lượng mặt trời,Unknown,5,Xăng 6.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,30,38,118.8,114.1,102.1,53.5,2727,183,3.2,3.33,91,5275,2013 N SALISBURY BLVD
Honda Accord Sport,2023,753733000,Xe nước ngoài,1,Sedan,5704,Ánh kim bạc rạng rỡ,Tro,4,Nhiên liệu linh hoạt 6.2L,Unknown,Số tự động,FWD - Dẫn động cầu trước,27,37,111.7,106.1,94.6,52.4,2356,122,3.68,3.37,157,4310,58 CALEF HWY
BMW 540i xDrive,2017,749409000,Xe nước ngoài,1,Sedan,86091,Ngọc trai xám sonic,Unknown,5,Xăng 5.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,20,29,92.8,98,96.9,54.9,3076,195,3.03,3.13,89,6473,4050 SOUTH I-35 EAST
Subaru WRX Premium,2022,747385000,Xe nước ngoài,1,Sedan,4581,Trắng,Đá xám đen / nhạt,5,Xăng 6.2L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,24,35,115.8,117.7,93.3,49.5,2832,157,3.09,3.33,98,5270,1432 Highway 45 Bypass
Cadillac CT6 Luxury,2018,745085000,Xe nước ngoài,1,Sedan,77851,Kim loại sapphire đen,Unknown,4,Hybrid5.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,22,31,108.8,115.3,102.7,51.6,3091,192,3.49,3.14,116,5035,3969 N GLOSTER ST
Honda Accord Sport Special Edition,2022,737104000,Xe nước ngoài,1,Sedan,15064,Bạc nửa đêm kim loại,Cát,4,Diesel Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,39,40,110.2,107.4,90.6,56.3,3127,189,3.29,3.05,149,4604,9570 Southwest Freeway
Honda Accord Sport Special Edition,2021,735977000,Xe nước ngoài,1,Sedan,18552,Ngọc trai gió lạnh/đen nửa đêm ánh kim,Unknown,4,Nhiên liệu linh hoạt 2.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,16,22,107.9,102.9,98,56.7,2825,133,3.72,3.25,128,5918,16200 Hwy 3
BMW 330i Sedan w/ M Sport Package,2020,735954000,Xe nước ngoài,-1,Sedan,59944,Gỗ mun đen,Unknown,4,Nhiên liệu linh hoạt 2.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,22,26,115.2,119.9,105.6,53.9,2689,170,3.72,3.16,115,5561,67855 E PALM CANYON DR
Tesla Model 3 Long Range,2018,735747000,Xe nước ngoài,1,Sedan,87261,Trắng,Unknown,5,Diesel Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,21,31,117.1,103.3,103.7,48.5,2878,176,3.31,3.23,171,5604,6800 Montana Ave
Toyota Camry XSE w/ Navigation Package,2021,710700000,Xe nước ngoài,1,Sedan,88971,Ngọc trai trắng băng,Unknown,4,Nhiên liệu linh hoạt 1.4L,Unknown,Số tự động,FWD - Dẫn động cầu trước,16,21,106,106.7,100.8,49.8,3109,109,3.36,3.38,71,4358,1813 ENSLEY AVENUE
Kia K5 GT-Line,2022,699177000,Xe nước ngoài,1,Sedan,38162,Bóng than chì,Đen/hợp kim,5,Diesel Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,24,31,105.1,97.9,103.2,48.7,2317,168,3.14,3.27,67,5372,240 Killian Commons Parkway
Honda Accord EX-L,2021,695750000,Xe nước ngoài,1,Sedan,34958,Ánh trăng xanh kim loại,Unknown,4,Xăng 2.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,16,20,97,111.9,79.9,52.4,2558,152,3.47,3.33,160,4591,1804 MONTGOMERY HWY S
Kia K5 GT-Line w/ GT-Line Premium Package,2023,695497000,Xe nước ngoài,1,Sedan,14294,Xám,Unknown,4,Điện2.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,24,119.2,107,99.4,55.7,2982,169,3.1,3.04,109,6581,3800 W Hillsborough Ave
INFINITI Q50 Luxe w/ Essential Package (3.0T Luxe),2020,690000000,Xe nước ngoài,1,Sedan,39405,Áo khoác trắng sáng,Unknown,4,ĐiệnLanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,45,47,119.5,110.4,85.9,49.5,2871,111,3.62,3.04,156,5950,1924 N Paulina St
Mercedes-Benz C 300 Sedan,2020,689885000,Xe nước ngoài,1,Sedan,71558,Giận dữ,Unknown,4,Điện1.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,45,51,96.4,116,93,47.1,2576,138,3.56,3.36,122,5502,355 HIGHWAY 44 E
Volvo S90 T6 Inscription,2018,219512000,Xe nước ngoài,1,Sedan,114963,Hội nghị thượng đỉnh trắng,Unknown,4,Điện4.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,24,101.3,116.8,84.9,53,2417,113,3.26,3,174,5289,3733 CLAYPOOL DR
Dodge Ram 1500 Truck SLT,2007,846124000,Xe nước ngoài,1,Truck,311203,Áo khoác đen,Unknown,2,ĐiệnLanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,15,18,92.3,97.3,90.1,54.3,2427,195,3.69,3.05,64,4554,882 CROSS CREEK DR
Chevrolet Silverado 1500 RST,2020,1290415000,Xe nước ngoài,1,Truck,123947,Áo khoác ba lớp sương giá trắng,Unknown,4,Hybrid3.5L,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,22,116.6,99.7,105.5,55.2,2958,149,3.12,3.1,175,5026,5455 S University Dr
GMC Sierra 1500 AT4 w/ AT4 Premium Package,2021,1287885000,Xe nước ngoài,1,Truck,58939,Oxford trắng,Đen,4,ĐiệnLanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,15,19,103.1,101,109,51.4,2911,164,3.56,3.17,81,4647,4220 W. Expressway 83
RAM 3500 Laramie,2019,1274775000,Xe nước ngoài,1,Truck,213962,Đen,Unknown,4,Điện2.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,15,18,111.5,114.6,103.4,53,2506,158,3.21,3.16,95,6474,1877 W 2425 S
GMC Sierra 1500 SLT w/ SLT Convenience Package,2022,1273418000,Xe nước ngoài,1,Truck,36838,Áo khoác ngọc trai pha lê đen kim cương,Đen,5,Điện3.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,15,18,117,106,77.2,55.8,2408,182,3.32,3.15,65,5468,1432 Highway 45 Bypass
Ford F550 4x4 Crew Cab Super Duty,2019,1243932000,Xe nước ngoài,1,Truck,146443,Mã não đen kim loại,Unknown,3,Hybrid6.2L,Unknown,Số tự động,FWD - Dẫn động cầu trước,17,22,117,97.8,78,54.9,3117,174,3.63,3.02,168,6146,3800 S Lapeer Rd
Chevrolet Silverado 1500 RST,2022,874000000,Xe nước ngoài,1,Truck,13499,Kim loại sterling,Gỗ mun,5,Điện6.2L,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,25,91,96.4,103.8,54.2,2541,189,3.4,3.35,92,4592,488 US HIGHWAY 1
RAM 1500 Laramie w/ Sport Appearance Package,2020,1242000000,Xe nước ngoài,1,Truck,114528,Oxford trắng,Unknown,4,ĐiệnLanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,16,35,107.4,104.2,93.9,51.4,2504,158,3.51,3.12,161,5623,2410 W GRAND AVE
Ford F250 XLT w/ XLT Premium Package,2021,1218655000,Xe nước ngoài,-1,Truck,50838,Bóng đen,Đen,3,Điện3.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,17,21,91.3,98.6,90.5,52.2,2670,163,3.29,3.24,89,6079,3990 W Highway 501
GMC Canyon Denali,2023,1216700000,Xe nước ngoài,1,Truck,3363,Kim loại màu xám cacbon hóa,Unknown,5,Hybrid3.6L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,18,23,90.7,119.2,85.7,54.1,2557,126,3.2,3.13,93,5653,1800 S MAIN ST
Ford F150 Lariat w/ FX4 Off-Road Package,2022,1214561000,Xe nước ngoài,1,Truck,88643,Bầu trời tối kim loại,Đen/hợp kim,3,Xăng 6.2L,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,22,93.3,99.3,92.6,47.3,2267,192,3.69,3.34,70,6156,5545 Secor Rd
Ford F150 Raptor w/ Equipment Group 802A Luxury,2018,1192734000,Xe nước ngoài,1,Truck,116238,Bóng đen,Unknown,2,Xăng 6.2L,Unknown,Số tự động,FWD - Dẫn động cầu trước,16,22,100.6,106.7,89.9,48.4,2256,141,3.42,3.36,81,5596,4220 W. Expressway 83
Ford F150 XLT,2022,1192550000,Xe nước ngoài,1,Truck,6757,Kim loại từ tính,Đen,3,Xăng 6.2L,Unknown,Số tự động,FWD - Dẫn động cầu trước,37,44,118.6,103.6,79.2,55.7,3098,124,3.59,3.32,132,6358,1800 S MAIN ST
GMC Sierra 1500 SLT,2022,1189468000,Xe nước ngoài,1,Truck,51128,Lớp phủ trong suốt bằng kim loại pha lê granite,Unknown,6,ĐiệnLanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,16,22,91.2,106.8,103,51.4,2542,168,3.02,3.12,103,5957,8131 Lyndon B Johnson Freeway
Ford F150 Raptor w/ Equipment Group 802A Luxury,2018,1172954000,Xe nước ngoài,1,Truck,122627,Hội nghị thượng đỉnh trắng,Unknown,3,Điện3.5L,Unknown,Số tự động,FWD - Dẫn động cầu trước,22,26,114.5,112,82.4,49.3,2774,145,3.03,3.32,159,6549,2473 PLEASANT HILL RD
Ford F150 Raptor w/ Equipment Group 802A Luxury,2018,1149931000,Xe nước ngoài,1,Truck,111555,Lớp phủ trong suốt bằng kim loại pha lê granite,Unknown,3,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,16,21,95.1,107.4,82.3,51.1,2964,122,3.38,3.12,68,5415,3990 W Highway 501
Jeep Gladiator Mojave,2020,1147700000,Xe nước ngoài,1,Truck,46136,Mã não đen kim loại,Unknown,5,Xăng 3.5L,Unknown,Số tay,RFD - Dẫn động cầu sau,22,27,99.3,115.4,109.5,48.2,2914,137,3.25,3.25,119,6325,488 US HIGHWAY 1
Chevrolet Silverado 3500 LTZ w/ Duramax Plus Package,2016,1138500000,Xe nước ngoài,1,Truck,172181,Trắng,Lâu đài,6,"Xăng 3,3L",Unknown,Số tự động,AWD - 4 bánh toàn thời gian,30,42,102.2,107.6,77.5,49.5,2827,157,3.65,3.02,84,4642,2380 South Highway 89
RAM 3500 Tradesman w/ Chrome Appearance Group,2019,1122170000,Xe nước ngoài,1,Truck,174085,Đá xám kim loại,Unknown,2,Xăng 2.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,23,34,105.1,102.5,106.3,48,2990,114,3.35,3.16,117,5354,5501 W Sample Rd
Ford F150 Limited,2019,1108945000,Xe nước ngoài,1,Truck,66032,Mã não đen kim loại,Unknown,4,HybridLanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,23,32,101.2,101.5,100.8,50.5,2242,154,3.72,3.38,174,6535,ROUTE 30 @ BLACKHILL RD
Toyota Tundra SR5,2022,1104575000,Xe nước ngoài,1,Truck,14611,Súng kim loại,Unknown,4,Xăng 3.5L,Unknown,Số tự động,RFD - Dẫn động cầu sau,23,31,108.5,112.4,83.2,55.2,2290,180,3.57,3.13,73,6527,500 Broad St
Ford F150 XLT w/ Equipment Group 301A Mid,2022,1103931000,Xe nước ngoài,1,Truck,21712,Mã não đen kim loại,Gỗ mun,5,Điện3.6L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,23,34,99.4,103,82.8,53.7,2560,209,3.62,3.06,90,4927,808 LOGAN BLVD
Ford F150 Lariat,2021,1103931000,Xe nước ngoài,1,Truck,52285,Mã não đen,Unknown,5,ĐiệnLanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,22,31,102.5,107,103.4,47.1,2951,153,3.51,3.36,65,5565,ROUTE 30 @ BLACKHILL RD
Nissan Titan SV w/ SV Convenience Package,2023,1103770000,Xe nước ngoài,1,Truck,3080,Áo khoác màu đỏ anh đào,Unknown,2,Điện2.5L,Unknown,Số tự động,RFD - Dẫn động cầu sau,22,29,96.3,106.1,104.7,55.8,2790,154,3.01,3.09,75,6119,7400 W LOOP 1604 S
Ford F150 Platinum,2021,1101700000,Xe nước ngoài,1,Truck,122442,Kim loại bạc cổ điển,Gỗ mun,5,Xăng Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,22,31,114,109.6,79.8,52.7,2758,170,3.3,3.18,88,4627,500 Broad St
GMC Sierra 1500 AT4 w/ AT4 Premium Package,2020,1092431000,Xe nước ngoài,1,Truck,104662,Kẹo bơ cứng màu nâu kim loại,Unknown,2,Xăng 3.5L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,25,35,98,110.3,90,54.9,2150,195,3.08,3.32,111,6588,2747 Hillsboro Boulevard
